,date,open,close,high,low,volume,code
346,2014-06-16,2176.44,2191.85,2196.34,2174.28,63296875.0,hs300
347,2014-06-17,2185.68,2169.67,2185.68,2168.45,49933665.0,hs300
348,2014-06-18,2169.25,2160.24,2172.55,2158.5,49463897.0,hs300
349,2014-06-19,2161.43,2126.91,2166.41,2119.5,53162645.0,hs300
350,2014-06-20,2124.96,2136.73,2137.03,2120.81,42393719.0,hs300
351,2014-06-23,2137.93,2134.11,2147.23,2132.45,41179258.0,hs300
352,2014-06-24,2131.69,2144.82,2145.21,2130.29,40164356.0,hs300
353,2014-06-25,2141.73,2133.37,2141.73,2126.03,37666100.0,hs300
354,2014-06-26,2135.16,2149.08,2151.11,2134.89,44351166.0,hs300
355,2014-06-27,2146.37,2150.26,2159.53,2138.93,52722896.0,hs300
356,2014-06-30,2152.31,2165.12,2168.22,2152.31,54304188.0,hs300
357,2014-07-01,2169.2,2164.56,2171.15,2157.13,53323100.0,hs300
358,2014-07-02,2164.0,2170.87,2171.51,2155.61,59685501.0,hs300
359,2014-07-03,2169.0,2180.19,2184.96,2164.84,63690690.0,hs300
360,2014-07-04,2180.45,2178.7,2183.8,2174.07,52851106.0,hs300
361,2014-07-07,2178.55,2176.29,2186.2,2171.08,50242334.0,hs300
362,2014-07-08,2174.83,2180.47,2180.78,2163.36,50743599.0,hs300
363,2014-07-09,2178.14,2148.71,2178.51,2148.26,62022046.0,hs300
364,2014-07-10,2146.6,2142.85,2151.77,2139.52,55732497.0,hs300
365,2014-07-11,2136.32,2148.01,2154.74,2134.79,61374274.0,hs300
366,2014-07-14,2149.54,2171.76,2171.9,2145.28,66158863.0,hs300
367,2014-07-15,2170.09,2174.98,2176.27,2165.21,71815694.0,hs300
368,2014-07-16,2172.82,2170.87,2183.25,2166.77,81560230.0,hs300
369,2014-07-17,2166.83,2157.07,2166.93,2147.08,59453568.0,hs300
370,2014-07-18,2147.66,2164.14,2176.32,2145.45,65473295.0,hs300
371,2014-07-21,2164.22,2166.29,2171.94,2158.96,54172260.0,hs300
372,2014-07-22,2162.44,2192.7,2197.59,2162.24,78542583.0,hs300
373,2014-07-23,2191.39,2197.83,2210.28,2190.55,84213872.0,hs300
374,2014-07-24,2199.83,2237.01,2239.81,2199.83,119435534.0,hs300
375,2014-07-25,2243.07,2260.45,2260.89,2239.07,98972838.0,hs300
376,2014-07-28,2272.38,2323.9,2331.47,2272.38,179869333.0,hs300
377,2014-07-29,2326.04,2331.37,2342.77,2316.22,134269641.0,hs300
378,2014-07-30,2324.69,2322.01,2339.04,2316.06,123022832.0,hs300
379,2014-07-31,2321.97,2350.25,2350.55,2316.58,110987769.0,hs300
380,2014-08-01,2341.23,2329.4,2371.5,2328.97,126317390.0,hs300
381,2014-08-04,2336.63,2375.62,2375.62,2332.14,116713754.0,hs300
382,2014-08-05,2376.8,2369.35,2380.77,2353.79,111861789.0,hs300
383,2014-08-06,2358.21,2363.22,2371.67,2334.33,116341829.0,hs300
384,2014-08-07,2363.61,2327.46,2369.2,2326.27,116729210.0,hs300
385,2014-08-08,2329.18,2331.13,2339.27,2319.29,86739694.0,hs300
386,2014-08-11,2338.01,2365.35,2367.0,2337.01,91601171.0,hs300
387,2014-08-12,2361.17,2357.05,2361.17,2344.72,91822608.0,hs300
388,2014-08-13,2358.46,2358.9,2370.51,2335.69,110447789.0,hs300
389,2014-08-14,2357.2,2335.95,2363.18,2334.08,97969493.0,hs300
390,2014-08-15,2337.99,2360.64,2366.9,2333.12,93592546.0,hs300
391,2014-08-18,2366.27,2374.56,2379.8,2361.2,104509554.0,hs300
392,2014-08-19,2378.89,2374.77,2379.47,2358.97,115850020.0,hs300
393,2014-08-20,2371.65,2366.14,2375.48,2360.84,101288088.0,hs300
394,2014-08-21,2365.73,2354.24,2367.46,2333.3,100690211.0,hs300
395,2014-08-22,2352.32,2365.36,2368.46,2350.99,89823938.0,hs300
396,2014-08-25,2367.02,2342.86,2367.61,2338.46,97373717.0,hs300
397,2014-08-26,2339.6,2324.09,2350.39,2317.18,93844222.0,hs300
398,2014-08-27,2323.79,2327.59,2336.74,2322.89,67676221.0,hs300
399,2014-08-28,2328.06,2311.28,2336.36,2309.64,70490655.0,hs300
400,2014-08-29,2317.3,2338.29,2338.77,2313.26,63211423.0,hs300
401,2014-09-01,2340.93,2355.32,2355.55,2338.53,77320870.0,hs300
402,2014-09-02,2359.86,2386.46,2387.66,2349.95,114436733.0,hs300
403,2014-09-03,2389.69,2408.84,2414.26,2389.68,129734204.0,hs300
404,2014-09-04,2411.93,2426.22,2427.3,2404.08,111272298.0,hs300
405,2014-09-05,2433.17,2449.26,2450.63,2427.99,133551764.0,hs300
406,2014-09-09,2452.23,2445.22,2454.89,2437.08,118194344.0,hs300
407,2014-09-10,2435.59,2432.43,2437.08,2422.65,109175517.0,hs300
408,2014-09-11,2430.68,2423.45,2461.47,2417.27,132982583.0,hs300
409,2014-09-12,2418.75,2438.36,2438.36,2412.62,109160170.0,hs300
410,2014-09-15,2433.0,2437.19,2439.25,2418.96,122247159.0,hs300
411,2014-09-16,2440.34,2388.76,2442.92,2386.98,186742791.0,hs300
412,2014-09-17,2395.36,2401.33,2405.37,2379.09,125269028.0,hs300
413,2014-09-18,2396.38,2408.66,2414.95,2389.62,115926376.0,hs300
414,2014-09-19,2409.31,2425.21,2430.15,2402.31,101813577.0,hs300
415,2014-09-22,2419.33,2378.92,2419.33,2374.11,102240870.0,hs300
416,2014-09-23,2379.52,2399.46,2402.48,2379.52,84033341.0,hs300
417,2014-09-24,2391.42,2441.86,2443.98,2387.07,142713530.0,hs300
418,2014-09-25,2453.42,2436.97,2462.67,2429.59,138661891.0,hs300
419,2014-09-26,2430.81,2437.2,2439.65,2420.5,100299494.0,hs300
420,2014-09-29,2443.91,2447.8,2453.67,2435.61,123401727.0,hs300
421,2014-09-30,2452.17,2450.99,2454.89,2444.2,115804229.0,hs300
422,2014-10-08,2460.87,2478.38,2478.38,2445.27,121953604.0,hs300
423,2014-10-09,2480.2,2481.96,2488.11,2461.11,137923920.0,hs300
424,2014-10-10,2472.1,2466.79,2482.14,2457.68,147634307.0,hs300
425,2014-10-13,2457.41,2454.95,2460.39,2430.55,131593362.0,hs300
426,2014-10-14,2451.09,2446.56,2467.9,2436.34,127393705.0,hs300
427,2014-10-15,2444.54,2463.87,2465.5,2431.19,135801882.0,hs300
428,2014-10-16,2448.97,2444.4,2480.3,2441.82,158166603.0,hs300
429,2014-10-17,2443.22,2441.73,2456.1,2410.4,132759988.0,hs300
430,2014-10-20,2448.45,2454.71,2456.62,2441.9,91435401.0,hs300
431,2014-10-21,2453.41,2433.39,2459.25,2432.55,96241912.0,hs300
432,2014-10-22,2434.89,2418.64,2447.47,2417.56,88656193.0,hs300
433,2014-10-23,2415.44,2395.94,2424.66,2392.53,103491839.0,hs300
434,2014-10-24,2397.85,2390.71,2404.99,2385.73,74974869.0,hs300
435,2014-10-27,2377.54,2368.83,2377.54,2361.68,73862447.0,hs300
436,2014-10-28,2373.16,2416.65,2416.77,2373.16,101523055.0,hs300
437,2014-10-29,2423.81,2451.38,2461.27,2415.7,158584062.0,hs300
438,2014-10-30,2450.36,2468.93,2474.38,2443.76,189626353.0,hs300
439,2014-10-31,2473.5,2508.32,2512.19,2466.5,239172412.0,hs300
440,2014-11-03,2515.82,2512.55,2524.17,2502.06,205801228.0,hs300
441,2014-11-04,2511.04,2513.17,2517.46,2498.6,218247005.0,hs300
442,2014-11-05,2516.87,2503.45,2519.4,2499.23,190491862.0,hs300
443,2014-11-06,2505.17,2506.07,2510.99,2482.98,149651117.0,hs300
444,2014-11-07,2508.76,2502.15,2541.55,2489.42,208760911.0,hs300
445,2014-11-10,2529.83,2565.73,2565.73,2514.71,226599735.0,hs300
446,2014-11-11,2578.44,2558.61,2602.37,2532.57,323711656.0,hs300
447,2014-11-12,2545.4,2594.32,2594.32,2539.6,184686261.0,hs300
448,2014-11-13,2597.39,2579.75,2607.52,2567.46,219815615.0,hs300
449,2014-11-14,2569.21,2581.09,2581.93,2557.67,165049965.0,hs300
450,2014-11-17,2613.51,2567.1,2614.09,2565.94,158478095.0,hs300
451,2014-11-18,2565.27,2541.42,2570.21,2534.93,142941356.0,hs300
452,2014-11-19,2538.23,2537.22,2550.5,2531.32,122146974.0,hs300
453,2014-11-20,2528.78,2537.1,2545.47,2522.84,106149864.0,hs300
454,2014-11-21,2537.54,2583.46,2585.36,2530.03,151028139.0,hs300
455,2014-11-24,2614.16,2649.26,2667.67,2602.94,279839720.0,hs300
456,2014-11-25,2650.08,2685.56,2686.06,2643.84,222611699.0,hs300
457,2014-11-26,2695.26,2723.02,2723.36,2690.31,243962485.0,hs300
458,2014-11-27,2737.03,2754.49,2754.49,2718.7,265464730.0,hs300
459,2014-11-28,2753.93,2808.82,2809.54,2740.37,375323662.0,hs300
460,2014-12-01,2825.61,2819.81,2855.33,2808.65,365487417.0,hs300
461,2014-12-02,2807.34,2923.94,2944.51,2804.29,361465322.0,hs300
462,2014-12-03,2936.12,2967.55,3028.23,2912.25,466156685.0,hs300
463,2014-12-04,2975.4,3104.35,3104.89,2968.88,426812928.0,hs300
464,2014-12-05,3143.97,3124.89,3195.8,3011.94,524881260.0,hs300
